time_iso8601,forks_cumulative
2024-05-22 00:00:00+00:00,38962
2024-05-23 00:00:00+00:00,38987
2024-05-24 00:00:00+00:00,39017
2024-05-25 00:00:00+00:00,39040
2024-05-26 00:00:00+00:00,39070
2024-05-27 00:00:00+00:00,39096
2024-05-28 00:00:00+00:00,39127
2024-05-29 00:00:00+00:00,39162
2024-05-30 00:00:00+00:00,39191
2024-05-31 00:00:00+00:00,39212
2024-06-01 00:00:00+00:00,39241
2024-06-02 00:00:00+00:00,39260
2024-06-03 00:00:00+00:00,39286
2024-06-04 00:00:00+00:00,39313
2024-06-05 00:00:00+00:00,39355
2024-06-06 00:00:00+00:00,39389
2024-06-07 00:00:00+00:00,39407
2024-06-08 00:00:00+00:00,39427
2024-06-09 00:00:00+00:00,39463
2024-06-10 00:00:00+00:00,39488
2024-06-11 00:00:00+00:00,39520
2024-06-12 00:00:00+00:00,39551
2024-06-13 00:00:00+00:00,39566
2024-06-14 00:00:00+00:00,39586
2024-06-15 00:00:00+00:00,39594
2024-06-16 00:00:00+00:00,39603
2024-06-17 00:00:00+00:00,39626
2024-06-18 00:00:00+00:00,39653
2024-06-19 00:00:00+00:00,39675
2024-06-20 00:00:00+00:00,39698
2024-06-21 00:00:00+00:00,39722
2024-06-22 00:00:00+00:00,39734
2024-06-23 00:00:00+00:00,39746
2024-06-24 00:00:00+00:00,39761
2024-06-25 00:00:00+00:00,39789
2024-06-26 00:00:00+00:00,39798
2024-06-27 00:00:00+00:00,39812
2024-06-28 00:00:00+00:00,39826
2024-06-29 00:00:00+00:00,39845
2024-06-30 00:00:00+00:00,39853
2024-07-01 00:00:00+00:00,39870
2024-07-02 00:00:00+00:00,39901
2024-07-03 00:00:00+00:00,39921
2024-07-04 00:00:00+00:00,39941
2024-07-05 00:00:00+00:00,39958
2024-07-06 00:00:00+00:00,39978
2024-07-07 00:00:00+00:00,39992
2024-07-08 00:00:00+00:00,40014
2024-07-09 00:00:00+00:00,40050
2024-07-10 00:00:00+00:00,40085
2024-07-11 00:00:00+00:00,40116
2024-07-12 00:00:00+00:00,40142
2024-07-13 00:00:00+00:00,40167
2024-07-14 00:00:00+00:00,40203
2024-07-15 00:00:00+00:00,40230
